Hs-TNF,2000,1000,T163956-TNF,"p1@TNF"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T040716,2014,1.0000,p1@C14orf166B,145497,23346,"B4DX10,G3V356",LRRC74A,"leucine rich repeat containing 74A","gene with protein product"
2,T047638,2005,1.0000,p2@RHCG,51458,18140,Q9UBD6,RHCG,"Rh family C glycoprotein","gene with protein product"
3,T163999,2005,1.0000,p8@TNF,7124,11892,,TNF,"tumor necrosis factor","gene with protein product"
4,T163965,2011,1.0000,p5@TNF,7124,11892,,TNF,"tumor necrosis factor","gene with protein product"
5,T163968,2002,1.0000,p4@TNF,7124,11892,"B5BUQ6,P01375,Q9UBM5",TNF,"tumor necrosis factor","gene with protein product"
6,T163998,2009,1.0000,p9@TNF,7124,11892,,TNF,"tumor necrosis factor","gene with protein product"
7,T163967,2011,0.9995,p14@TNF,7124,11892,"B5BUQ6,P01375",TNF,"tumor necrosis factor","gene with protein product"
8,T195844,2007,0.9995,p1@GLA,2717,4296,P06280,GLA,"galactosidase alpha","gene with protein product"
9,T086136,2006,0.9990,p6@ABL2,27,77,,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase","gene with protein product"
10,T172727,2006,0.9985,p17@AGAP3,116988,16923,,AGAP3,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3","gene with protein product"
11,T169515,2000,0.9985,p9@HBP1,26959,23200,O60381,HBP1,"HMG-box transcription factor 1","gene with protein product"
12,T112037,2006,0.9980,p4@SFT2D3,84826,28767,Q587I9,SFT2D3,"SFT2 domain containing 3","gene with protein product"
13,T046980,1998,0.9970,p2@BCL2A1,597,991,Q16548,BCL2A1,"BCL2 related protein A1","gene with protein product"
14,T091732,2001,0.9955,p8@KMO,8564,6381,O15229,KMO,"kynurenine 3-monooxygenase","gene with protein product"
15,T065802,1996,0.9955,p2@GNAL,2774,4388,B7ZA26,GNAL,"G protein subunit alpha L","gene with protein product"
16,T163989,2000,0.9945,p3@TNF,7124,11892,,TNF,"tumor necrosis factor","gene with protein product"
17,T145547,1996,0.9945,p1@CXCL2,2920,4603,,CXCL2,"C-X-C motif chemokine ligand 2","gene with protein product"
18,T057451,1999,0.9940,p2@CCL4,6351,10630,,CCL4,"C-C motif chemokine ligand 4","gene with protein product"
19,T138598,1993,0.9940,p9@TET2,54790,25941,Q6N021,TET2,"tet methylcytosine dioxygenase 2","gene with protein product"
20,T028662,2000,0.9930,p6@RAB3IP,117177,16508,,RAB3IP,"RAB3A interacting protein","gene with protein product"
21,T015406,1995,0.9925,p5@MS4A4A,51338,13371,,MS4A4A,"membrane spanning 4-domains A4A","gene with protein product"
22,T033248,1992,0.9920,p3@GTF2F2,2963,4653,,GTF2F2,"general transcription factor IIF subunit 2","gene with protein product"
23,T135164,1985,0.9910,p4@CCRL2,9034,1612,O00421,CCRL2,"C-C motif chemokine receptor like 2","gene with protein product"
24,T169516,1993,0.9906,p6@HBP1,26959,23200,O60381,HBP1,"HMG-box transcription factor 1","gene with protein product"
25,T062914,1991,0.9905,p2@CD300E,342510,28874,Q496F6,CD300E,"CD300e molecule","gene with protein product"
26,T003276,1991,0.9896,p1@ARL5B,221079,23052,"Q96KC2,B0YIW9",ARL5B,"ADP ribosylation factor like GTPase 5B","gene with protein product"
27,T062918,1991,0.9896,p3@CD300E,342510,28874,"Q496F6,B4E0V9",CD300E,"CD300e molecule","gene with protein product"
28,T151510,1986,0.9895,p1@IL12B,3593,5970,P29460,IL12B,"interleukin 12B","gene with protein product"
29,T135170,1985,0.9881,p16@CCRL2,9034,1612,O00421,CCRL2,"C-C motif chemokine receptor like 2","gene with protein product"
30,T018595,1984,0.9880,p13@PPFIBP2,8495,9250,Q8ND30,PPFIBP2,"PPFIA binding protein 2","gene with protein product"
31,T139451,1984,0.9880,p2@ANXA5,308,543,,ANXA5,"annexin A5","gene with protein product"
32,T146351,1985,0.9871,p8@THAP9,79725,23192,,THAP9,"THAP domain containing 9","gene with protein product"
33,T146402,1984,0.9871,p3@ACOX3,8310,121,D6RJ89,ACOX3,"acyl-CoA oxidase 3, pristanoyl","gene with protein product"
34,T028476,1983,0.9871,p6@CPM,1368,2311,,CPM,"carboxypeptidase M","gene with protein product"
35,T135169,1975,0.9850,p9@CCRL2,9034,1612,O00421,CCRL2,"C-C motif chemokine receptor like 2","gene with protein product"
